Date,Family,Family ID,Tile Number,Recruit,Single/Clump,Survival,Area,Color,Orientation,Early Missing,Other Notes,"Large, juvenile? "
October,BKxBK,1,118,1.118.120,C,0,,,,,,
March,BKxBK,1,118,1.118.139,C,1,,,,,,
June,BKxBK,1,118,1.118.139,C,0,,,,,,
October,BKxBK,1,118,1.118.139,C,0,,,,,,
March,BKxBK,1,118,1.118.12,S,1,,,,,,
June,BKxBK,1,118,1.118.12,S,0,,,,,,
October,BKxBK,1,118,1.118.12,S,0,,,,,,
March,BKxBK,1,118,1.118.16,C,1,,,,,,
June,BKxBK,1,118,1.118.16,C,0,,,,,,
October,BKxBK,1,118,1.118.16,C,0,,,,,,
March,BKxBK,1,118,1.118.20,C,1,,,,,,
June,BKxBK,1,118,1.118.20,C,0,,,,,,
October,BKxBK,1,118,1.118.20,C,0,,,,,,
March,BKxBK,1,118,1.118.26,C,1,,,,,,
June,BKxBK,1,118,1.118.26,C,0,,,,,,
October,BKxBK,1,118,1.118.26,C,0,,,,,,
March,BKxBK,1,118,1.118.27,C,1,,,,,,
June,BKxBK,1,118,1.118.27,C,0,,,,,,
October,BKxBK,1,118,1.118.27,C,0,,,,,,
March,BKxBK,1,118,1.118.28,C,1,,,,,,
June,BKxBK,1,118,1.118.28,C,0,,,,,,
October,BKxBK,1,118,1.118.28,C,0,,,,,,
March,BKxBK,1,118,1.118.3,S,1,1.512,6,,,,
June,BKxBK,1,118,1.118.3,S,0,,,,,,
October,BKxBK,1,118,1.118.3,S,0,,,,,,
March,BKxBK,1,118,1.118.30,C,1,,,,,,
June,BKxBK,1,118,1.118.30,C,0,,,,,,
October,BKxBK,1,118,1.118.30,C,0,,,,,,
March,BKxBK,1,118,1.118.52,C,1,,,,,,
June,BKxBK,1,118,1.118.52,C,0,,,,,,
October,BKxBK,1,118,1.118.52,C,0,,,,,,
March,BKxBK,1,118,1.118.6,S,1,,,,,,
June,BKxBK,1,118,1.118.6,S,0,,,,,,
October,BKxBK,1,118,1.118.6,S,0,,,,,,
March,BKxBK,1,118,1.118.87,C,1,,,,,,
June,BKxBK,1,118,1.118.87,C,0,,,,,,
October,BKxBK,1,118,1.118.87,C,0,,,,,,
March,BKxBK,1,118,1.118.96,C,1,,,,,,
June,BKxBK,1,118,1.118.96,C,0,,,,,,
October,BKxBK,1,118,1.118.96,C,0,,,,,,
March,BKxBK,1,118,1.118.97,C,1,,,,,,
June,BKxBK,1,118,1.118.97,C,0,,,,,,
October,BKxBK,1,118,1.118.97,C,0,,,,,,
March,BKxBK,1,118,1.118.99,S,1,,,,,,
June,BKxBK,1,118,1.118.99,S,0,,,,,,
October,BKxBK,1,118,1.118.99,S,0,,,,,,
March,BKxBK,1,119,1.119.73,C,1,,,,,,
June,BKxBK,1,119,1.119.73,C,0,,,,,,
October,BKxBK,1,119,1.119.73,C,0,,,,,,
March,BKxBK,1,121,1.121.10,S,1,NA,NA,Front,,,
June,BKxBK,1,121,1.121.10,S,1,NA,NA,Front,,,
October,BKxBK,1,121,1.121.10,S,1,5.287,5,Back,,,
March,BKxBK,1,123,1.123.14,C,1,,,,,,
June,BKxBK,1,123,1.123.14,C,0,,,,,,
October,BKxBK,1,123,1.123.14,C,0,,,,,,
March,BKxBK,1,123,1.123.28,C,1,1.935,6,,,,
June,BKxBK,1,123,1.123.28,C,1,2.796,6,,,,
October,BKxBK,1,123,1.123.28,C,0,0,NA,,,,
March,BKxBK,1,123,1.123.3,C,1,,,,,,
June,BKxBK,1,123,1.123.3,C,0,,,,,,
October,BKxBK,1,123,1.123.3,C,0,,,,,,
March,BKxBK,1,123,1.123.34,C,1,,,,,,
June,BKxBK,1,123,1.123.34,C,0,,,,,,
October,BKxBK,1,123,1.123.34,C,0,,,,,,
March,BKxBK,1,123,1.123.41,C,1,,,,,,
June,BKxBK,1,123,1.123.41,C,0,,,,,,
October,BKxBK,1,123,1.123.41,C,0,,,,,,
March,BKxBK,1,123,1.123.43,S,1,,,,,,
June,BKxBK,1,123,1.123.43,S,0,,,,,,
October,BKxBK,1,123,1.123.43,S,0,,,,,,
March,BKxBK,1,123,1.123.44,S,1,0.786,6,,,,
June,BKxBK,1,123,1.123.44,S,0,,,,,,
October,BKxBK,1,123,1.123.44,S,0,,,,,,
March,BKxBK,1,123,1.123.46,S,1,,,,,,
June,BKxBK,1,123,1.123.46,S,0,,,,,,
October,BKxBK,1,123,1.123.46,S,0,,,,,,
March,BKxBK,1,128,1.128.5,C,1,,,,,,
June,BKxBK,1,128,1.128.5,C,0,,,,,,
October,BKxBK,1,128,1.128.5,C,0,,,,,,
March,BKxBK,1,129,1.129.7,S,1,NA,NA,,,,
June,BKxBK,1,129,1.129.7,S,1,NA,NA,,,Cannot find in photo,
October,BKxBK,1,129,1.129.7,S,0,NA,0,,,,
March,BKxBK,1,129,1.129.8,S,1,NA,NA,,,,
June,BKxBK,1,129,1.129.8,S,1,NA,NA,,,Cannot find in photo,
October,BKxBK,1,129,1.129.8,S,0,NA,0,,,,
March,BKxBK,1,131,1.131.20,S,1,0.581,6,,,,
June,BKxBK,1,131,1.131.20,S,0,,,,,,
October,BKxBK,1,131,1.131.20,S,0,,,,,,
March,BKxBK,1,16,1.16.1,S,1,1.752,5,,,,
June,BKxBK,1,16,1.16.1,S,0,,,,,,
October,BKxBK,1,16,1.16.1,S,0,,,,,,
March,BKxBK,1,16,1.16.3,S,1,NA,NA,Front,,,
June,BKxBK,1,16,1.16.3,S,1,NA,NA,Front,,,
October,BKxBK,1,16,1.16.3,S,1,5.375,6,Back,,,
March,BKxBK,1,18,1.18.1,S,1,1.771,5,,,,
June,BKxBK,1,18,1.18.1,S,0,,,,,,
October,BKxBK,1,18,1.18.1,S,0,,,,,,
March,BKxBK,1,18,1.18.2,S,1,1.312,4,,,,
June,BKxBK,1,18,1.18.2,S,0,,,,,,
October,BKxBK,1,18,1.18.2,S,0,,,,,,
March,BKxBK,1,2,1.2.16,S,1,NA,NA,,Y,,
June,BKxBK,1,2,1.2.16,S,1,2.01,4,,Y,,
October,BKxBK,1,2,1.2.16,S,0,NA,0,,Y,,
March,BKxBK,1,22,1.22.8,S,1,1.131,5,,Y,,
June,BKxBK,1,22,1.22.8,S,0,,,,Y,,
October,BKxBK,1,22,1.22.8,S,0,,,,Y,,
March,BKxBK,1,22,1.22.9,S,1,1.069,5,,Y,,
June,BKxBK,1,22,1.22.9,S,0,,,,Y,,
October,BKxBK,1,22,1.22.9,S,0,,,,Y,,
March,BKxBK,1,24,1.24.1,S,1,NA,NA,,Y,,
June,BKxBK,1,24,1.24.1,S,1,NA,NA,,Y,,
October,BKxBK,1,24,1.24.1,S,1,1.764,2,,Y,,
March,BKxBK,1,25,1.25.17,C,1,,,,Y,,
June,BKxBK,1,25,1.25.17,C,0,,,,Y,,
October,BKxBK,1,25,1.25.17,C,0,,,,Y,,
March,BKxBK,1,25,1.25.25,S,1,NA,NA,Front,Y,,
June,BKxBK,1,25,1.25.25,S,1,1.034,6,Back,Y,,
October,BKxBK,1,25,1.25.25,S,0,NA,0,,Y,,
March,BKxBK,1,26,1.26.57,S,1,0.787,5,,,,
June,BKxBK,1,26,1.26.57,S,0,,,,,,
October,BKxBK,1,26,1.26.57,S,0,,,,,,
March,BKxBK,1,27,1.27.12,S,1,1.173,6,,,,
June,BKxBK,1,27,1.27.12,S,1,1.455,6,,,,
October,BKxBK,1,27,1.27.12,S,1,2.002,5,,,,
March,BKxBK,1,3,1.3.10,S,1,,,,,,
June,BKxBK,1,3,1.3.10,S,0,,,,,,
October,BKxBK,1,3,1.3.10,S,0,,,,,,
March,BKxBK,1,3,1.3.37,S,1,NA,NA,,Y,,
June,BKxBK,1,3,1.3.37,S,1,1.49,5,,,,
October,BKxBK,1,3,1.3.37,S,1,1.249,3,,,,
March,BKxBK,1,30,1.30.17,S,1,1.442,6,,,,
June,BKxBK,1,30,1.30.17,S,0,,,,,,
October,BKxBK,1,30,1.30.17,S,0,,,,,,
March,BKxBK,1,30,1.30.18,S,1,,,,,,
June,BKxBK,1,30,1.30.18,S,0,,,,,,
October,BKxBK,1,30,1.30.18,S,0,,,,,,
March,BKxBK,1,31,1.31.11,S,1,0.745,6,,,,
June,BKxBK,1,31,1.31.11,S,0,,,,,,
October,BKxBK,1,31,1.31.11,S,0,,,,,,
March,BKxBK,1,31,1.31.12,S,1,,,,,,
June,BKxBK,1,31,1.31.12,S,0,,,,,,
October,BKxBK,1,31,1.31.12,S,0,,,,,,
March,BKxBK,1,31,1.31.13,S,1,0.669,6,,,,
June,BKxBK,1,31,1.31.13,S,0,,,,,,
October,BKxBK,1,31,1.31.13,S,0,,,,,,
March,BKxBK,1,32,1.32.7,S,1,NA,NA,,Y,,
June,BKxBK,1,32,1.32.7,S,1,NA,NA,,Y,,
October,BKxBK,1,32,1.32.7,S,1,4.712,6,,,,
March,BKxBK,1,36,1.36.10,S,1,0.744,5,,,,
June,BKxBK,1,36,1.36.10,S,0,,,,,,
October,BKxBK,1,36,1.36.10,S,0,,,,,,
March,BKxBK,1,36,1.36.13,S,1,NA,NA,,,,
June,BKxBK,1,36,1.36.13,S,1,NA,NA,,,,
October,BKxBK,1,36,1.36.13,S,1,1.612,5,,,,
March,BKxBK,1,37,1.37.25,S,1,1.595,6,,,,
June,BKxBK,1,37,1.37.25,S,0,,,,,,
October,BKxBK,1,37,1.37.25,S,0,,,,,,
March,BKxBK,1,4,1.4.22,S,1,NA,NA,,,,Y
June,BKxBK,1,4,1.4.22,S,1,NA,NA,,,,Y
October,BKxBK,1,4,1.4.22,S,1,3.499,6,,,,Y
March,BKxBK,1,41,1.41.4,S,1,0.64,5,,,,
June,BKxBK,1,41,1.41.4,S,0,,,,,,
October,BKxBK,1,41,1.41.4,S,0,,,,,,
March,BKxBK,1,42,1.42.1,S,1,0.954,5,,,,
June,BKxBK,1,42,1.42.1,S,0,,,,,,
October,BKxBK,1,42,1.42.1,S,0,,,,,,
March,BKxBK,1,42,1.42.15,S,1,,,,,,
June,BKxBK,1,42,1.42.15,S,0,,,,,,
October,BKxBK,1,42,1.42.15,S,0,,,,,,
March,BKxBK,1,42,1.42.2,S,1,,,,,,
June,BKxBK,1,42,1.42.2,S,0,,,,,,
October,BKxBK,1,42,1.42.2,S,0,,,,,,
March,BKxBK,1,42,1.42.3,S,1,,,,,,
June,BKxBK,1,42,1.42.3,S,0,,,,,,
October,BKxBK,1,42,1.42.3,S,0,,,,,,
March,BKxBK,1,42,1.42.4,S,1,1.042,5,,,,
June,BKxBK,1,42,1.42.4,S,0,,,,,,
October,BKxBK,1,42,1.42.4,S,0,,,,,,
March,BKxBK,1,43,1.43.4,C,1,,,,,,
June,BKxBK,1,43,1.43.4,C,0,,,,,,
October,BKxBK,1,43,1.43.4,C,0,,,,,,
March,BKxBK,1,43,1.43.5,S,1,1.444,5,,,,
June,BKxBK,1,43,1.43.5,S,0,,,,,,
October,BKxBK,1,43,1.43.5,S,0,,,,,,
March,BKxBK,1,43,1.43.6,C,1,,,,,,
June,BKxBK,1,43,1.43.6,C,0,,,,,,
October,BKxBK,1,43,1.43.6,C,0,,,,,,
March,BKxBK,1,42,1.42.7,S,1,0.606,6,,,,
June,BKxBK,1,42,1.42.7,S,0,,,,,,
October,BKxBK,1,42,1.42.7,S,0,,,,,,
March,BKxBK,1,42,1.42.8,S,1,,,,,,
June,BKxBK,1,42,1.42.8,S,0,,,,,,
October,BKxBK,1,42,1.42.8,S,0,,,,,,
March,BKxBK,1,42,1.42.9,S,1,,,,,,
June,BKxBK,1,42,1.42.9,S,0,,,,,,
October,BKxBK,1,42,1.42.9,S,0,,,,,,
March,BKxBK,1,44,1.44.5,S,1,,,,,,
June,BKxBK,1,44,1.44.5,S,0,,,,,,
October,BKxBK,1,44,1.44.5,S,0,,,,,,
March,BKxBK,1,45,1.45.14,C,1,,,,,,
June,BKxBK,1,45,1.45.14,C,0,,,,,,
October,BKxBK,1,45,1.45.14,C,0,,,,,,
March,BKxBK,1,51,1.51.12,S,1,1.624,5,,,,
June,BKxBK,1,51,1.51.12,S,0,,,,,,
October,BKxBK,1,51,1.51.12,S,0,,,,,,
March,BKxBK,1,54,1.54.40,C,1,,,,,,
June,BKxBK,1,54,1.54.40,C,0,,,,,,
October,BKxBK,1,54,1.54.40,C,0,,,,,,
March,BKxBK,1,54,1.54.41,C,1,,,,,,
June,BKxBK,1,54,1.54.41,C,0,,,,,,
October,BKxBK,1,54,1.54.41,C,0,,,,,,
March,BKxBK,1,54,1.54.42,C,1,,,,,,
June,BKxBK,1,54,1.54.42,C,0,,,,,,
October,BKxBK,1,54,1.54.42,C,0,,,,,,
March,BKxBK,1,54,1.54.43,C,1,,,,,,
June,BKxBK,1,54,1.54.43,C,0,,,,,,
October,BKxBK,1,54,1.54.43,C,0,,,,,,
March,BKxBK,1,54,1.54.44,C,1,,,,,,
June,BKxBK,1,54,1.54.44,C,0,,,,,,
October,BKxBK,1,54,1.54.44,C,0,,,,,,
March,BKxBK,1,54,1.54.45,C,1,,,,,,
June,BKxBK,1,54,1.54.45,C,0,,,,,,
October,BKxBK,1,54,1.54.45,C,0,,,,,,
March,BKxBK,1,54,1.54.46,C,1,,,,,,
June,BKxBK,1,54,1.54.46,C,0,,,,,,
October,BKxBK,1,54,1.54.46,C,0,,,,,,
March,BKxBK,1,54,1.54.47,C,1,,,,,,
June,BKxBK,1,54,1.54.47,C,0,,,,,,
October,BKxBK,1,54,1.54.47,C,0,,,,,,
March,BKxBK,1,54,1.54.48,S,1,1.859,5,,,,
June,BKxBK,1,54,1.54.48,S,0,,,,,,
October,BKxBK,1,54,1.54.48,S,0,,,,,,
March,BKxBK,1,57,1.57.1,S,1,1.519,5,,,,
June,BKxBK,1,57,1.57.1,S,0,,,,,,
October,BKxBK,1,57,1.57.1,S,0,,,,,,
March,BKxBK,1,61,1.61.7,C,1,,,,,,
June,BKxBK,1,61,1.61.7,C,0,,,,,,
October,BKxBK,1,61,1.61.7,C,0,,,,,,
March,BKxBK,1,61,1.61.8,S,1,0.796,5,,,,
June,BKxBK,1,61,1.61.8,S,0,NA,0,,,,
October,BKxBK,1,61,1.61.8,S,0,NA,0,,,,
March,BKxBK,1,63,1.63.10,S,1,1.226,5,,,,
June,BKxBK,1,63,1.63.10,S,0,NA,0,,,,
October,BKxBK,1,63,1.63.10,S,0,NA,0,,,,
March,BKxBK,1,63,1.63.9,C,1,,,,,,
June,BKxBK,1,63,1.63.9,C,0,,,,,,
October,BKxBK,1,63,1.63.9,C,0,,,,,,
March,BKxBK,1,65,1.65.1,S,1,NA,NA,,Y,,
June,BKxBK,1,65,1.65.1,S,1,2.333,6,,,,
October,BKxBK,1,65,1.65.1,S,1,4.197,6,,,,
March,BKxBK,1,67,1.67.16,C,1,,,,,,
June,BKxBK,1,67,1.67.16,C,0,,,,,,
October,BKxBK,1,67,1.67.16,C,0,,,,,,
March,BKxBK,1,67,1.67.17,C,1,,,,,,
June,BKxBK,1,67,1.67.17,C,0,,,,,,
October,BKxBK,1,67,1.67.17,C,0,,,,,,
March,BKxBK,1,67,1.67.37,C,1,,,,,,
June,BKxBK,1,67,1.67.37,C,0,,,,,,
October,BKxBK,1,67,1.67.37,C,0,,,,,,
March,BKxBK,1,67,1.67.47,S,1,1.418,5,,,,
June,BKxBK,1,67,1.67.47,S,0,,,,,,
October,BKxBK,1,67,1.67.47,S,0,,,,,,
March,BKxBK,1,67,1.67.48,S,1,1.836,5,,,,
June,BKxBK,1,67,1.67.48,S,0,,,,,,
October,BKxBK,1,67,1.67.48,S,0,,,,,,
March,BKxBK,1,68,1.68.2,S,1,1.62,5,,,,
June,BKxBK,1,68,1.68.2,S,0,,,,,,
October,BKxBK,1,68,1.68.2,S,0,,,,,,
March,BKxBK,1,7,1.7.12,S,1,NA,NA,Front,,,
June,BKxBK,1,7,1.7.12,S,1,NA,NA,Front,,,
October,BKxBK,1,7,1.7.12,S,1,4.164,4,Back,,,
March,BKxBK,1,70,1.70.14,S,1,1.391,6,,,,
June,BKxBK,1,70,1.70.14,S,0,,,,,,
October,BKxBK,1,70,1.70.14,S,0,,,,,,
March,BKxBK,1,70,1.70.29,C,1,,,,,,
June,BKxBK,1,70,1.70.29,C,0,,,,,,
October,BKxBK,1,70,1.70.29,C,0,,,,,,
March,BKxBK,1,70,1.70.35,S,1,1.543,5,,,,
June,BKxBK,1,70,1.70.35,S,0,,,,,,
October,BKxBK,1,70,1.70.35,S,0,,,,,,
March,BKxBK,1,71,1.71.9,S,1,NA,NA,,Y,,
June,BKxBK,1,71,1.71.9,S,1,1.46,6,,,,
October,BKxBK,1,71,1.71.9,S,0,NA,0,,,,
March,BKxBK,1,73,1.73.1,S,1,,,,,,
June,BKxBK,1,73,1.73.1,S,0,,,,,,
October,BKxBK,1,73,1.73.1,S,0,,,,,,
March,BKxBK,1,73,1.73.15,S,1,,,,,,
June,BKxBK,1,73,1.73.15,S,0,,,,,,
October,BKxBK,1,73,1.73.15,S,0,,,,,,
March,BKxBK,1,73,1.73.2,S,1,,,,,,
June,BKxBK,1,73,1.73.2,S,0,,,,,,
October,BKxBK,1,73,1.73.2,S,0,,,,,,
March,BKxBK,1,73,1.73.26,S,1,,,,,,
June,BKxBK,1,73,1.73.26,S,0,,,,,,
October,BKxBK,1,73,1.73.26,S,0,,,,,,
March,BKxBK,1,73,1.73.28,C,1,,,,,,
June,BKxBK,1,73,1.73.28,C,0,,,,,,
October,BKxBK,1,73,1.73.28,C,0,,,,,,
March,BKxBK,1,73,1.73.29,C,1,,,,,,
June,BKxBK,1,73,1.73.29,C,0,,,,,,
October,BKxBK,1,73,1.73.29,C,0,,,,,,
March,BKxBK,1,73,1.73.32,C,1,,,,,,
June,BKxBK,1,73,1.73.32,C,0,,,,,,
October,BKxBK,1,73,1.73.32,C,0,,,,,,
March,BKxBK,1,73,1.73.34,C,1,,,,,,
June,BKxBK,1,73,1.73.34,C,0,,,,,,
October,BKxBK,1,73,1.73.34,C,0,,,,,,
March,BKxBK,1,73,1.73.39,C,1,,,,,,
June,BKxBK,1,73,1.73.39,C,0,,,,,,
October,BKxBK,1,73,1.73.39,C,0,,,,,,
March,BKxBK,1,73,1.73.4,S,1,2.162,6,,,,
June,BKxBK,1,73,1.73.4,S,0,NA,0,,,,
October,BKxBK,1,73,1.73.4,S,0,NA,0,,,,
March,BKxBK,1,73,1.73.49,S,1,,,,,,
June,BKxBK,1,73,1.73.49,S,0,,,,,,
October,BKxBK,1,73,1.73.49,S,0,,,,,,
March,BKxBK,1,73,1.73.61,S,1,1.583,6,,,,
June,BKxBK,1,73,1.73.61,S,0,NA,0,,,,
October,BKxBK,1,73,1.73.61,S,0,NA,0,,,,
March,BKxBK,1,73,1.73.69,S,1,,,,,,
June,BKxBK,1,73,1.73.69,S,0,,,,,,
October,BKxBK,1,73,1.73.69,S,0,,,,,,
March,BKxBK,1,73,1.73.71,C,1,,,,,,
June,BKxBK,1,73,1.73.71,C,0,,,,,,
October,BKxBK,1,73,1.73.71,C,0,,,,,,
March,BKxBK,1,73,1.73.74,S,1,,,,,,
June,BKxBK,1,73,1.73.74,S,0,,,,,,
October,BKxBK,1,73,1.73.74,S,0,,,,,,
March,BKxBK,1,73,1.73.81,S,1,,,,,,
June,BKxBK,1,73,1.73.81,S,0,,,,,,
October,BKxBK,1,73,1.73.81,S,0,,,,,,
March,BKxBK,1,73,1.73.90,C,1,,,,,,
June,BKxBK,1,73,1.73.90,C,0,,,,,,
October,BKxBK,1,73,1.73.90,C,0,,,,,,
March,BKxBK,1,73,1.73.91,S,1,,,,,,
June,BKxBK,1,73,1.73.91,S,0,,,,,,
October,BKxBK,1,73,1.73.91,S,0,,,,,,
March,BKxBK,1,74,1.74.11,C,1,3.071,5,,,,
June,BKxBK,1,74,1.74.11,C,0,NA,0,,,,
October,BKxBK,1,74,1.74.11,C,0,NA,0,,,,
March,BKxBK,1,74,1.74.3,C,1,2.191,5,,,,
June,BKxBK,1,74,1.74.3,C,0,NA,0,,,,
October,BKxBK,1,74,1.74.3,C,0,NA,0,,,,
March,BKxBK,1,77,1.77.1,S,1,,,,,,
June,BKxBK,1,77,1.77.1,S,0,,,,,,
October,BKxBK,1,77,1.77.1,S,0,,,,,,
March,BKxBK,1,77,1.77.2,S,1,1.747,5,,,,
June,BKxBK,1,77,1.77.2,S,0,NA,0,,,,
October,BKxBK,1,77,1.77.2,S,0,NA,0,,,,
March,BKxBK,1,77,1.77.4,S,1,1.135,6,,,,
June,BKxBK,1,77,1.77.4,S,0,NA,0,,,,
October,BKxBK,1,77,1.77.4,S,0,NA,0,,,,
March,BKxBK,1,77,1.77.7,S,1,1.095,6,,,,
June,BKxBK,1,77,1.77.8,S,1,NA,0,,,,
October,BKxBK,1,77,1.77.9,S,1,NA,0,,,,
March,BKxBK,1,78,1.78.19,S,1,NA,NA,Front,,,
June,BKxBK,1,78,1.78.19,S,1,1.821,4,Back,,,
October,BKxBK,1,78,1.78.19,S,0,NA,0,,,,
March,BKxBK,1,78,1.78.4,C,1,2.326,6,,,,
June,BKxBK,1,78,1.78.4,C,1,2.083,6,,,,
October,BKxBK,1,78,1.78.4,C,0,NA,0,,,,
March,BKxBK,1,8,1.8.1,C,1,7.91,4,,,,
June,BKxBK,1,8,1.8.1,C,0,NA,0,,,,
October,BKxBK,1,8,1.8.1,C,0,NA,0,,,,
March,BKxBK,1,83,1.83.1,S,1,NA,NA,,Y,,
June,BKxBK,1,83,1.83.1,S,1,NA,NA,,Y,,
October,BKxBK,1,83,1.83.1,S,1,1.853,3,,,,
March,BKxBK,1,87,1.87.26,S,1,1.152,6,,,,
June,BKxBK,1,87,1.87.26,S,1,2.176,6,,,,
October,BKxBK,1,87,1.87.26,S,0,NA,0,,,,
March,BKxBK,1,88,1.88.146,S,1,NA,NA,,Y,,
June,BKxBK,1,88,1.88.146,S,1,2.856,2,,,,
October,BKxBK,1,88,1.88.146,S,0,NA,0,,,,
March,BKxBK,1,88,1.88.29,C,1,2.816,6,,,,
